Feed flow rate limits kg/s,90,110,,,,,,,,,,,,,,,,
Recycle to feed ratio limits,0.025,0.175,,,,,,,,,,,,,,,,
TI-050 limits deg_C,-20,0,,,,,,,,,,,,,,,,
TI-150 limits deg_C,-55,-40,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Feed flow rate kg/s,Recycle flow rate kg/s,TI-050 deg_C,TI-150 deg_C,Condensate flow rate kg/s,Condensate density kg/m3,LNG flow rate kg/s,LNG C5+ mol,Long reinjection mass flow kg/s,Reinjection mass flow kg/s,Status
108.603618972949,4.35227526860983,-10.7955122397884,-49.056937477584,1.56296383738089,663.411808685158,107.040723591409,0.00263880550175614,0.83050676160894,7.1894667903194,True
109.409775107728,3.6001978586322,-11.6514157571254,-49.5957171542077,1.5456420229819,663.199235237421,107.864196018888,0.00267804074283477,0.846658379049567,7.60725086228813,True
109.984951241957,3.88424342991561,-11.2412006119769,-48.9502009649294,1.58699865877656,663.289557776379,108.397998667554,0.00264832597912355,0.856852440923955,7.2054934323348,True
110,4.65927636650029,-11.5651680178631,-49.0293727587449,1.67030349810736,662.958221385856,108.329762421719,0.00251364534975126,0.916096253923289,7.01978198509628,True
109.554523489841,4.13205672712272,-11.1671432058421,-48.4077216426467,1.58174900220808,663.289155127589,107.972809620551,0.00261235852517622,0.852038067046482,6.83718854285301,True
109.290131575432,4.70925183409974,-11.0986312424035,-48.5325263277459,1.64640535396192,663.120961943059,107.64377922316,0.00253318350101551,0.887433534617469,6.7379504922295,True
108.80406572501,3.63372288543765,-10.3806708892886,-49.5176518249565,1.47566679282945,663.713588339861,107.328473154258,0.00279086684357431,0.770235175002595,7.72862006037205,True
108.962759452547,3.29622828378166,-11.2016824518539,-48.980666012985,1.51748265023737,663.388917819199,107.445308922845,0.00273429452199928,0.816958195438913,7.29819178320247,True
108.18844074885,2.70776059933721,-11.3102759768629,-48.1465929529671,1.47627902221667,663.378926532555,106.71238097126,0.00278451145897924,0.797623866545842,6.85401049108355,True
108.487492050437,3.34511539578795,-10.7463419992999,-48.6509693639101,1.51993735073428,663.543162878653,106.96757864874,0.00275343190429198,0.804659672031982,7.09808119496897,True
