Feed flow rate limits kg/s,90,110,,,,,,,,,,,,,,,,
Recycle to feed ratio limits,0.025,0.175,,,,,,,,,,,,,,,,
TI-050 limits deg_C,-20,0,,,,,,,,,,,,,,,,
TI-150 limits deg_C,-55,-40,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Feed flow rate kg/s,Recycle flow rate kg/s,TI-050 deg_C,TI-150 deg_C,Condensate flow rate kg/s,Condensate density kg/m3,LNG flow rate kg/s,LNG C5+ mol,Long reinjection mass flow kg/s,Reinjection mass flow kg/s,Status
103.302993505052,8.43831261002275,-13.7051656517892,-45.5035113462996,2.05685140481455,657.819292651533,101.246469317607,0.00133929586317789,1.30408389909889,2.96388931139467,True
102.955146017723,8.61153747203638,-13.74424697118,-45.5601153139692,2.09921420174061,657.179422467439,100.856265513636,0.00128709744122674,1.34489043673944,2.84576688332009,True
101.957284996037,7.52296205032598,-13.0347003566286,-45.397394453013,1.90361238307275,659.732096706791,100.053959139266,0.00163176311644074,1.14886948329267,3.4080277034538,True
102.031606097791,6.93333175629645,-13.4214491213819,-44.6515850160726,1.89236018635714,659.908542235135,100.139440223813,0.00168765397839169,1.1541746289223,3.14915643253298,True
101.73195773167,7.64048863666529,-13.1989523795809,-44.5383564754286,1.97869140558847,658.579134715023,99.7534920197056,0.00151200275566873,1.21997176570142,2.78204511242258,True
101.179495486346,8.51222117721827,-12.9990300536288,-44.1258870470952,2.09517739991367,656.732067712872,99.0845626321462,0.00122766957930385,1.31703417150714,2.11577361617625,True
100.228969974871,8.08253553772249,-13.968539891141,-43.1566867290092,2.10750277615099,656.287133975649,98.1216222343366,0.00108813416707051,1.37833320528,1.50855973501405,True
100.746764101472,8.11372055996313,-14.7225325457486,-42.7110383224575,2.19264393173115,655.316795757117,98.5542334448381,0.000942611292138319,1.49352290993756,1.04475963734508,True
100.493176207647,8.65547659120777,-14.3010605953881,-43.525969058531,2.19506748898714,655.177483224708,98.2983110957856,0.000924104430006889,1.47760114720457,1.31733217270956,True
100.747403676392,8.60001252268895,-13.4277163428165,-43.5255251505009,2.11916729440131,656.258023796586,98.6284517865741,0.00105729695768519,1.36183994793049,1.64333756722472,True
